--------------
Thu Apr 25 22:16:20 2024 TW Stock List
--------------
2347.TW, Close: 77.10, RSI(talib): 61.65
2603.TW, Close: 181.00, RSI(talib): 60.63
2317.TW, Close: 151.50, RSI(talib): 65.20
2637.TW, Close: 67.10, RSI(talib): 62.25
--------------
6282.TW failed ('NoneType' object has no attribute 'text').
2023.TW failed ('NoneType' object has no attribute 'text').
2457.TW failed ('NoneType' object has no attribute 'text').
3062.TW failed ('NoneType' object has no attribute 'text').
2888.TW failed ('NoneType' object has no attribute 'text').
3653.TW failed ('NoneType' object has no attribute 'text').
2379.TW failed ('NoneType' object has no attribute 'text').
8478.TW failed ('NoneType' object has no attribute 'text').
3034.TW failed ('NoneType' object has no attribute 'text').
2367.TW failed ('NoneType' object has no attribute 'text').
2449.TW failed ('NoneType' object has no attribute 'text').
4906.TW failed ('NoneType' object has no attribute 'text').
1808.TW failed ('NoneType' object has no attribute 'text').
6191.TW failed ('NoneType' object has no attribute 'text').
2104.TW failed ('NoneType' object has no attribute 'text').
3703.TW failed ('NoneType' object has no attribute 'text').
4104.TW failed ('NoneType' object has no attribute 'text').
8114.TW failed ('NoneType' object has no attribute 'text').
6781.TW failed ('NoneType' object has no attribute 'text').
6278.TW failed ('NoneType' object has no attribute 'text').
1802.TW failed ('NoneType' object has no attribute 'text').
3665.TW failed ('NoneType' object has no attribute 'text').
2612.TW failed ('NoneType' object has no attribute 'text').
1524.TW failed ('NoneType' object has no attribute 'text').
2915.TW failed ('NoneType' object has no attribute 'text').
8261.TW failed ('NoneType' object has no attribute 'text').
2305.TW failed ('NoneType' object has no attribute 'text').
6257.TW failed ('NoneType' object has no attribute 'text').
2352.TW failed ('NoneType' object has no attribute 'text').
1314.TW failed ('NoneType' object has no attribute 'text').
3443.TW failed ('NoneType' object has no attribute 'text').
8215.TW failed ('NoneType' object has no attribute 'text').
2484.TW failed ('NoneType' object has no attribute 'text').
3706.TW failed ('NoneType' object has no attribute 'text').
2105.TW failed ('NoneType' object has no attribute 'text').
1210.TW failed ('NoneType' object has no attribute 'text').
1723.TW failed ('NoneType' object has no attribute 'text').
9919.TW failed ('NoneType' object has no attribute 'text').
3702.TW failed ('NoneType' object has no attribute 'text').
4952.TW failed ('NoneType' object has no attribute 'text').
2363.TW failed ('NoneType' object has no attribute 'text').
2731.TW failed ('NoneType' object has no attribute 'text').
2059.TW failed ('NoneType' object has no attribute 'text').
1590.TW failed ('NoneType' object has no attribute 'text').
1733.TW failed ('NoneType' object has no attribute 'text').
3535.TW failed ('NoneType' object has no attribute 'text').
2049.TW failed ('NoneType' object has no attribute 'text').
4583.TW failed ('NoneType' object has no attribute 'text').
2032.TW failed ('NoneType' object has no attribute 'text').
3011.TW failed ('NoneType' object has no attribute 'text').
2069.TW failed ('NoneType' object has no attribute 'text').
2017.TW failed ('NoneType' object has no attribute 'text').
1522.TW failed ('NoneType' object has no attribute 'text').
6591.TW failed ('NoneType' object has no attribute 'text').
3019.TW failed ('NoneType' object has no attribute 'text').
2489.TW failed ('NoneType' object has no attribute 'text').
1712.TW failed ('NoneType' object has no attribute 'text').
1476.TW failed ('NoneType' object has no attribute 'text').
8070.TW failed ('NoneType' object has no attribute 'text').
2342.TW failed ('NoneType' object has no attribute 'text').
1104.TW failed ('NoneType' object has no attribute 'text').
8213.TW failed ('NoneType' object has no attribute 'text').
2425.TW failed ('NoneType' object has no attribute 'text').
2458.TW failed ('NoneType' object has no attribute 'text').
6515.TW failed ('NoneType' object has no attribute 'text').
8081.TW failed ('NoneType' object has no attribute 'text').
3673.TW failed ('NoneType' object has no attribute 'text').
9921.TW failed ('NoneType' object has no attribute 'text').
1907.TW failed ('NoneType' object has no attribute 'text').
2538.TW failed ('NoneType' object has no attribute 'text').
2206.TW failed ('NoneType' object has no attribute 'text').
6202.TW failed ('NoneType' object has no attribute 'text').
2106.TW failed ('NoneType' object has no attribute 'text').
6288.TW failed ('NoneType' object has no attribute 'text').
5269.TW failed ('NoneType' object has no attribute 'text').
6669.TW failed ('NoneType' object has no attribute 'text').
8464.TW failed ('NoneType' object has no attribute 'text').
8112.TW failed ('NoneType' object has no attribute 'text').
2101.TW failed ('NoneType' object has no attribute 'text').
6719.TW failed ('NoneType' object has no attribute 'text').
3003.TW failed ('NoneType' object has no attribute 'text').
2482.TW failed ('NoneType' object has no attribute 'text').
1773.TW failed ('NoneType' object has no attribute 'text').
9941.TW failed ('NoneType' object has no attribute 'text').
6533.TW failed ('NoneType' object has no attribute 'text').
9914.TW failed ('NoneType' object has no attribute 'text').
4551.TW failed ('NoneType' object has no attribute 'text').
6415.TW failed ('NoneType' object has no attribute 'text').
3015.TW failed ('NoneType' object has no attribute 'text').
2360.TW failed ('NoneType' object has no attribute 'text').
2520.TW failed ('NoneType' object has no attribute 'text').
2204.TW failed ('NoneType' object has no attribute 'text').
8996.TW failed ('NoneType' object has no attribute 'text').
3701.TW failed ('NoneType' object has no attribute 'text').
2405.TW failed ('NoneType' object has no attribute 'text').
3013.TW failed ('NoneType' object has no attribute 'text').
4770.TW failed ('NoneType' object has no attribute 'text').
3356.TW failed ('NoneType' object has no attribute 'text').
2314.TW failed ('NoneType' object has no attribute 'text').
6605.TW failed ('NoneType' object has no attribute 'text').
1568.TW failed ('NoneType' object has no attribute 'text').
1539.TW failed ('NoneType' object has no attribute 'text').
8033.TW failed ('NoneType' object has no attribute 'text').
3406.TW failed ('NoneType' object has no attribute 'text').
2428.TW failed ('NoneType' object has no attribute 'text').
5871.TW failed ('NoneType' object has no attribute 'text').
2328.TW failed ('NoneType' object has no attribute 'text').
6153.TW failed ('NoneType' object has no attribute 'text').
8454.TW failed ('NoneType' object has no attribute 'text').
2636.TW failed ('NoneType' object has no attribute 'text').
6412.TW failed ('NoneType' object has no attribute 'text').
6196.TW failed ('NoneType' object has no attribute 'text').
6491.TW failed ('NoneType' object has no attribute 'text').
2233.TW failed ('NoneType' object has no attribute 'text').
2723.TW failed ('NoneType' object has no attribute 'text').
2707.TW failed ('NoneType' object has no attribute 'text').
5222.TW failed ('NoneType' object has no attribute 'text').
4961.TW failed ('NoneType' object has no attribute 'text').
6164.TW failed ('NoneType' object has no attribute 'text').
1459.TW failed ('NoneType' object has no attribute 'text').
3008.TW failed ('NoneType' object has no attribute 'text').
6414.TW failed ('NoneType' object has no attribute 'text').
2385.TW failed ('NoneType' object has no attribute 'text').
3167.TW failed ('NoneType' object has no attribute 'text').
1527.TW failed ('NoneType' object has no attribute 'text').
9910.TW failed ('NoneType' object has no attribute 'text').
1432.TW failed ('NoneType' object has no attribute 'text').
3607.TW failed ('NoneType' object has no attribute 'text').
1528.TW failed ('NoneType' object has no attribute 'text').
2889.TW failed ('NoneType' object has no attribute 'text').
5285.TW failed ('NoneType' object has no attribute 'text').
6226.TW failed ('NoneType' object has no attribute 'text').
6133.TW failed ('NoneType' object has no attribute 'text').
6120.TW failed ('NoneType' object has no attribute 'text').
3038.TW failed ('NoneType' object has no attribute 'text').
3047.TW failed ('NoneType' object has no attribute 'text').
1471.TW failed ('NoneType' object has no attribute 'text').
3494.TW failed ('NoneType' object has no attribute 'text').
1727.TW failed ('NoneType' object has no attribute 'text').
2395.TW failed ('NoneType' object has no attribute 'text').
6670.TW failed ('NoneType' object has no attribute 'text').
6206.TW failed ('NoneType' object has no attribute 'text').
2486.TW failed ('NoneType' object has no attribute 'text').
2421.TW failed ('NoneType' object has no attribute 'text').
2419.TW failed ('NoneType' object has no attribute 'text').
2392.TW failed ('NoneType' object has no attribute 'text').
3005.TW failed ('NoneType' object has no attribute 'text').
